Prompt,Response
How do I see how many young people feel like they belong in their community?,"Go to the 'Participation' category, then select 'Connection to Community.' Next, click on 'Belonging in community' and choose either 'Feeling sense of belonging (%) (GuiQ)' or 'Feeling sense of belonging (%) (Speaking Out Survey WA).'"
Where can I find data on young people doing volunteer work?,Start by selecting the 'Participation' category. Then click on 'Volunteering' and choose 'Young people doing unpaid voluntary work (%).'
How can I check the number of people registered to vote?,"Go to the 'Participation' category, then select 'Voting enrolment' and choose 'Number enrolled (N).'"
Where can I check how many households earn less than $1000 a week?,Start by selecting the 'Material basics' category. Then click on 'Low income household' and choose 'Living in household earning less than $1000 per week (%).'
How do I find data on people living in tents or makeshift shelters?,"Go to the 'Material basics' category, then select 'Housing amenity.' Next, click on 'Homelessness' and choose 'Living in improvised dwellings, tents, or sleeping out (%).'"
Where can I check the youth unemployment rate for full-time work?,Start by selecting the 'Material basics' category. Then click on 'Youth unemployment' and choose 'Unemployed and seeking full-time work (%).'
How do I find the SEIFA score for education and occupation?,"Go to the 'Material basics' category, then select 'Socio-economic Indexes of Australia (SEIFA).' Click on 'Index of Education and Occupation (IEO) (Score)' to find the score."
Where can I see the SEIFA score for socio-economic disadvantage?,Start by selecting the 'Material basics' category. Then click on 'Socio-economic Indexes of Australia (SEIFA)' and choose 'Index of Relative Socio-economic Disadvantage (IRSD) (Score).'
How can I check why people seek help from homeless services due to money problems?,"Go to the 'Material basics' category, then select 'Housing amenity.' Next, click on 'Specialist Homelessness Services - Main reason for seeking assistance' and choose 'Financial (N).'"
How do I find out how many kids attend government schools from Years 1-10?,"Start by selecting the 'Learning' category, then click on 'School attendance (level).' Next, choose 'Government Schools' and select 'Combined Years 1-10' to view the data."
Where can I check the overall attendance rate for all schools?,"Go to the 'Learning' category, select 'School attendance (rate),' then click on 'All schools' and choose 'Total rate' to access the information."
How do I find the percentage of kids who don’t like school?,"Start by selecting the 'Learning' category, then click on 'Liking school (Speaking Out Survey WA).' Next, choose 'Do not like school (%)' to see the data presented as a percentage."
Where can I find how many students get into university after graduation?,"Go to the 'Learning' category, select 'Youth participation in education,' then click on 'Post school destinations' and choose 'Graduating year students who gained university placements (%).'"
How do I check if students feel like they belong at school?,"Start by selecting the 'Learning' category, then click on 'Sense of belonging at school.' Next, choose 'Students agreeing that school is ""a place where I belong"" (%) (Speaking Out Survey WA)' to see the percentage data."
Where can I get data on childcare availability?,"Go to the 'Learning' category, select 'Early childhood education and care,' then click on 'Childcare availability' and choose 'Children per place average (N).'"
How do I check the average NAPLAN score for Year 7 reading?,"Start by selecting the 'Learning' category, then click on 'Average NAPLAN score.' Next, choose 'Reading' and select 'Year 7' to view the data."
What does SA2 mean in statistical areas?,"SA2s are medium-sized areas that represent communities with shared social and economic characteristics. They typically have populations ranging from 3,000 to 25,000 people, with smaller populations in rural areas. SA2s are the smallest areas where non-census statistics can be released by the ABS. In urban areas, they often align with single suburbs or groups of related suburbs, for more information visit htpps://australianchildatlas.com/statistical-areas."
Can you explain what SA3 stands for?,"SA3s are larger regions made up of neighboring SA2 areas. They generally have populations between 30,000 and 130,000 people and often align with local government boundaries. In regional areas, SA3s represent distinct regions, and they are named after well-known regions, cities, or economic hubs, for more information visit htpps://australianchildatlas.com/statistical-areas."
What does SA4 mean when talking about statistical areas?,"SA4s are broad geographical areas consisting of neighboring SA3 regions. They are mainly used for labor market analysis and have populations ranging from 100,000 to 500,000 people. These areas are named after major cities, employment centers, or well-known regional areas they cover, for more information visit https://australianchildatlas.com/statistical-areas."
Where can I see information about how long calls last for parenting services in WA?,"Start by selecting the 'Healthy' category. Then, click on 'Access to services,' followed by 'Parenting services (WA only).' Finally, choose 'Ngala - Average call length (Min).'"
How do I find out how many young people are admitted to the hospital for chronic illnesses in WA?,"Go to the 'Healthy' category, select 'Disability and chronic health conditions,' then click on 'Chronic physical illness related hospital admissions (WA only)' and choose 'Chronic illness related admissions of 0 to 24 year-olds (N).'"
Where can I check the number of children and young people in different age groups?,"Start by selecting the 'Healthy' category, then choose 'Estimated resident population.' From there, select 'Number of children and young people (N) - 5 year age groups.'"
How do I see the number of emergency visits for infectious diseases?,"First, select the 'Healthy' category. Next, click on 'Emergency department presentations,' then choose 'ED presentations by type - public hospitals,' and finally, select 'Certain infectious and parasitic diseases (N).'"
Where can I get details about emergency visits for breathing problems?,"Go to the 'Healthy' category, select 'Emergency department presentations,' then click on 'ED presentations by type - public hospitals,' and choose 'Diseases of the respiratory system (rate per 100,000).'"
How do I find out how many people go to the emergency for urinary problems?,"Start by selecting the 'Healthy' category. Then, click on 'Emergency department presentations,' followed by 'ED presentations by type - public hospitals,' and finally, choose 'Diseases of the genitourinary system (N).'"
Where can I check how many kids died in road accidents?,"First, select the 'Healthy' category. Then, click on 'Injury,' choose 'Road accidents,' and finally select 'Fatally injured in road accident 0-16 (10 year rolling sum) (N).'"
How can I find information about young people using condoms or talking about safe sex?,"Go to the 'Healthy' category, select 'Sexual health,' then choose 'Knowledge and skills about safe sexual and reproductive health behaviours.' From there, you can explore options like 'Condom use for sexual activity - always (%),' 'Students talking about avoiding pregnancy with their partner before having sex (N - sample),' and 'Students talking about using condoms with their partner before having sex (%).'"
Where can I check how many young people don’t eat enough vegetables?,"Start by selecting the 'Healthy' category. Then, click on 'Physical health,' choose 'Nutrition,' and finally select 'Daily consumption of vegetables' followed by 'Did not meet recommendation (%).'"
How do I find out how many young people have tried drugs?,"Go to the 'Healthy' category, select 'Substance use,' then click on 'Drugs (NDSHS),' and choose 'Ever used illicit drugs (%).'"
Where can I check information about Gonorrhoea cases?,"Start by selecting the 'Healthy' category, then click on 'Sexual health.' Next, choose 'Prevalence of sexually transmitted infections (STIs)' and select 'Gonorrhoea (N).'"
Where can I find information about people born in the Americas?,"Start by selecting the 'Identity and Culture' category, then click on 'Country of birth.' Next, choose 'Americas (N)' to see the data."
How do I get details on people from North Africa or the Middle East?,"Go to the 'Identity and Culture' category, select 'Country of birth,' and then choose 'North Africa and the Middle East (%).'"
How can I check data on children who don’t speak English well?,"Start by selecting the 'Identity and Culture' category, then click on 'Language.' Next, choose 'Children and young people who don't speak English well or not at all,' and select the option with (%) to see the data presented as a percentage."
Where can I find the number of children who don’t speak English well?,"Go to the 'Identity and Culture' category, select 'Language,' and then choose 'Children and young people who don't speak English well or not at all.' Select the option with (N) to see the data presented as a count or number."
How do I see information on children speaking Indigenous languages?,"Start by selecting the 'Identity and Culture' category, then click on 'Language.' Next, choose 'Children and young people who speak a language other than English at home,' and select 'Australian Indigenous Languages (%)' to see the data as a percentage."
Where can I find the number of children speaking Southern Asian languages?,"Go to the 'Identity and Culture' category, select 'Language,' then click on 'Children and young people who speak a language other than English at home.' Choose 'Southern Asian Languages (N)' to see the data as a number."
How can I check the percentage of young people with no religion?,"Start by selecting the 'Identity and Culture' category, then click on 'Religion.' Next, choose 'Young people with and without religious affiliation,' and select 'No religious affiliation (%)' to see the data as a percentage."
Where can I see the number of young people with religious beliefs?,"Go to the 'Identity and Culture' category, select 'Religion,' then click on 'Young people with and without religious affiliation.' Choose 'With religious affiliation (N)' to see the data as a number."
