Prompt,Response
How do I find the percentage of kids who don’t like school?,"
Start by going to the themes section. Then select the 'Learning' category, click on 'Liking school (Speaking Out Survey WA),' and choose 'Do not like school (%)' to see the data presented as a percentage."
Where can I find how many students get into university after graduation?,"
Start by going to the themes section. Then go to the 'Learning' category, select 'Youth participation in education,' click on 'Post school destinations,' and choose 'Graduating year students who gained university placements (%)."
What does SA2 mean in statistical areas?,"SA2s are medium-sized areas that represent communities with shared social and economic characteristics. They typically have populations ranging from 3,000 to 25,000 people, with smaller populations in rural areas. SA2s are the smallest areas where non-census statistics can be released by the ABS. In urban areas, they often align with single suburbs or groups of related suburbs, for more information visit htpps://australianchildatlas.com/statistical-areas."
Can you explain what SA3 stands for?,"SA3s are larger regions made up of neighboring SA2 areas. They generally have populations between 30,000 and 130,000 people and often align with local government boundaries. In regional areas, SA3s represent distinct regions, and they are named after well-known regions, cities, or economic hubs, for more information visit htpps://australianchildatlas.com/statistical-areas."
What does SA4 mean when talking about statistical areas?,"SA4s are broad geographical areas consisting of neighboring SA3 regions. They are mainly used for labor market analysis and have populations ranging from 100,000 to 500,000 people. These areas are named after major cities, employment centers, or well-known regional areas they cover, for more information visit https://australianchildatlas.com/statistical-areas."
How do I see the number of emergency visits for infectious diseases?,"
Start by going to the themes section. First, select the 'Healthy' category. Next, click on 'Emergency department presentations,' then choose 'ED presentations by type - public hospitals,' and finally, select 'Certain infectious and parasitic diseases (N)."
Where can I get details about emergency visits for breathing problems?,"Start by going to the themes section. First, select the 'Healthy' category. Next, click on 'Emergency department presentations,' then choose 'ED presentations by type - public hospitals,' and finally, select 'Certain infectious and parasitic diseases (N)."
How do I find out how many people go to the emergency for urinary problems?,"
Start by going to the themes section. Then, select the 'Healthy' category, click on 'Emergency department presentations,' followed by 'ED presentations by type - public hospitals,' and finally, choose 'Diseases of the genitourinary system (N)."
Where can I check how many kids died in road accidents?,"Start by going to the themes section. First, select the 'Healthy' category. Then, click on 'Injury,' choose 'Road accidents,' and finally select 'Fatally injured in road accident 0-16 (10 year rolling sum) (N)."
How can I find information about young people using condoms or talking about safe sex?,"Start by going to the themes section. Then go to the 'Healthy' category, select 'Sexual health,' and choose 'Knowledge and skills about safe sexual and reproductive health behaviours.' From there, you can explore options like 'Condom use for sexual activity - always (%),' 'Students talking about avoiding pregnancy with their partner before having sex (N - sample),' and 'Students talking about using condoms with their partner before having sex (%)."
Where can I check how many young people don’t eat enough vegetables?,"Start by going to the themes section. Then, select the 'Healthy' category, click on 'Physical health,' choose 'Nutrition,' and finally select 'Daily consumption of vegetables,' followed by 'Did not meet recommendation (%)"
How do I see information on children speaking Indigenous languages?,"Start by selecting the 'Identity and Culture' category, then click on 'Language.' Next, choose 'Children and young people who speak a language other than English at home,' and select 'Australian Indigenous Languages (%)' to see the data as a percentage."
Where can I find the number of children speaking Southern Asian languages?,"
Start by going to the themes section. Then go to the 'Identity and Culture' category, select 'Language,' click on 'Children and young people who speak a language other than English at home,' and choose 'Southern Asian Languages (N)' to see the data as a number.







"
How can I check the percentage of young people with no religion?,"Start by going to the themes section. Then select the 'Identity and Culture' category, click on 'Religion,' choose 'Young people with and without religious affiliation,' and select 'No religious affiliation (%)' to see the data as a percentage."
Where can I see the number of young people with religious beliefs?,"
Start by going to the themes section. Then go to the 'Identity and Culture' category, select 'Religion,' click on 'Young people with and without religious affiliation,' and choose 'With religious affiliation (N)' to see the data as a number."
Can you guide me through the site?,"Of course! The site offers resources on various key categories. On the homepage, you'll find a 'Resources' and 'User Guide' option. If you click on it, you'll see two options. The first option provides an atlas video guide to help you get started. Additionally, the site has indicators, which are themes that contain different sections. By exploring these sections, you'll find various options that can help you figure out exactly what you're looking for. Let me know if you need more detailed guidance!"
What can I do on this website?,"You can explore categories such as Healthy, Learning, Material basics, Participation, Valued, loved and safe, and Identity and culture. You can also see information on people aged 0-24. Would you like to explore a specific category or learn more about any of these features?"
What is the core function of this website?,"It accelerates the national access to and use of spatial data to understand inequities and improve the wellbeing, health and development of children and young people
"
I don't know where to start.,"No worries! A great starting point is our atlas video guide, which you can find on the homepage. Start with that, and then explore the homepage further. We have indicators and technical information sections where you can find details about areas, visualization, and more. This will help you navigate the site easily and understand the main topics."
Can I filter information based on my needs?,"Yes! You can filter information by criteria like date, location, or category. Just use the filter icon, or let me know how you’d like to refine your search, and I'll assist you further."
How can I contact support?,"You can contact support by clicking on the 'Contact Us' link at the top of the page/on the homepage. If you submit your query there, we will get back to you as soon as possible."
Can you suggest some content for me?,"Sure! Based on your interests, I can suggest checking out some of our key themes. Tell me what you are interested in, and I can guide you further. We have themes like Healthy, Learning, Material basics, Participation, Valued, loved and safe, and Identity and culture. Would you like to dive into any of these?"
"I'm interested in [Healthy, Learning, Material basics, Participation, Valued, loved and safe, Identity and culture].","Great! To explore this, you can visit the map where you will find relevant information in the themes section. You can explore the theme and let me know if you need assistance in filtering data by age & sex, region, date, etc."
I don’t know how to phrase my search.,"No worries! Try typing in a keyword or two, and I’ll suggest results. You can also ask me directly for topics like Participation, Valued, Loved and Safe."
What are themes?,"Themes on this website refer to key categories that you can explore, including Healthy, Learning, Material basics, Participation, Valued, loved and safe, and Identity and culture. These themes help organize information and data, making it easier for you to find what you need. Would you like to explore any of these themes?"
How often is the data updated?,The data on this website is regularly updated to reflect the most current information available. You can check the 'Technical Information and Methods' section for details on data collection and update schedules.
Can I save my searches or data?,"Currently, the website does not offer a direct way to save searches, but you can bookmark pages or export data to your device for later use. If you need help exporting data, I can guide you through it."
What do I do if I can’t find the data I’m looking for?,"If you're having trouble finding specific data, try using different keywords, or explore the relevant theme section. You can also contact support through the 'Contact Us' link at the top of the page or ask me what themes are available"
How can I explore data by regions?,"To explore data by regions, use the map icon at the top of the page. You can select regions based on SA2, SA3, or SA4 areas and filter the data accordingly. If you need help understanding these areas, let me know!"
What is the 'About Us' section about?,"The ""About Us"" section provides information about our team, partners, and focus areas, such as First Nation children and young people, and Trans and Gender Diverse Young People. You can also find news, media, and information about the ACYWA logo competition."
What are 'Indicators'?,"Indicators are categories or themes that help organize the data on this website. The main themes include Healthy, Learning, Material basics, Participation, Valued, loved and safe, and Identity and culture. You can explore these themes to find specific information related to children's wellbeing and development."
What is 'Technical Information'?,"The ""Technical Information"" section includes detailed data and metadata related to the themes on the website. It also contains information on statistical areas, technical methods, visualization tools, and licensing details."
What is the 'Our Team' section about?,"The ""Our Team"" section under ""About Us"" provides information about the people behind this project. You can learn more about the team members who are dedicated to improving child and youth wellbeing through data and research."
How can I access the latest news and media?,"The ""News & Media"" section under ""About Us"" provides updates, articles, and media coverage related to the website's focus areas. You can stay informed about the latest developments and initiatives here."
How can I find information about chronic illness,"To find information about chronic illness on the ACYWA platform, start by visiting the 'Themes' section. From there, select the 'Healthy' category. Inside 'Healthy,' you'll find various topics, including 'Disability and chronic health conditions.' Here, you can explore indicators related to chronic physical illness"
Where can I find information about emergency department visitsor cases affected by drugs and alcohol?,"To find information about emergency department visits, start by navigating to the 'Themes' section. From there, select the 'Healthy' category. Within 'Healthy,' you'll find a variety of topics, including 'Emergency department presentations.' This section includes data such as 'ED presentations all types - all hospitals. Additionally, if you're interested in specific cases affected by both drugs and alcohol, you can explore the indicator labeled 'Affected by both drugs and alcohol"
"Where can I find information on mental health, suicide, self harm?","To find information about mental health, suicide, self harm, start by navigating to the 'Themes' section. From there, select the 'Healthy' category. Within 'Healthy,' you'll find a variety of topics, including 'Emergency department presentations.' This section includes data such as 'ED presentations all types - all hospitals. if you scroll you can look for topics that you are looking for."
"How can I find data on digestive system, respiratory system, circulatory system?","To find data on specific health issues like the digestive system, respiratory system, or circulatory system, start by navigating to the 'Themes' section. Select the 'Healthy' category, and then go to 'Emergency department presentations.' Within this section, look for the indicator labeled 'ED presentations by type - public hospitals.' Here, you will be able to explore data specifically categorized by the type of health issue, including presentations related to the digestive system, respiratory system, and circulatory system"
How can I find information about diabetes?,"To find information about diabetes, start by going to the 'Themes' section. From there, select the 'Healthy' category. Within 'Healthy,' you'll find a section called 'Disability and chronic health conditions.' In this section, look for the indicator labeled 'Diabetes related hospital admissions (WA only).' This will provide you with detailed data on hospital admissions related to diabetes in Western Australia, giving you insights into how this condition is impacting the population."
How can I find information about medical care for pregnant women?,"To find information about medical care for pregnant women, start by navigating to the 'Themes' section. Select the 'Healthy' category, and then go to 'Health at birth.' Within this section, you'll find data related to the 'First antenatal visit,' which provides insights into the medical care pregnant women receive"
How can I find information about infant mortality?,"To find information about infant mortality, start by going to the 'Themes' section. From there, select the 'Healthy' category, and then navigate to 'Health at birth.' Within this section, you'll find the indicator labeled 'Infant mortality.' This section provides detailed data on infant mortality rates, offering insights into the health outcomes of infants"
How can I find information about birthweight?,"To find information about birthweight, start by navigating to the 'Themes' section. Select the 'Healthy' category, and then go to 'Health at birth.' Within this section, you'll find the indicator labeled 'Low birthweight.' This section provides detailed data on infants born with low birthweight, offering insights into the health outcomes and potential risks associated with low birthweight."
How can I find information about smoking during pregnancy?,"To find information about smoking during pregnancy, start by going to the 'Themes' section. From there, select the 'Healthy' category, and then navigate to 'Health at birth.' Within this section, you'll find the indicator labeled 'Smoking in pregnancy.' This section provides detailed data on smoking habits among pregnant women, offering insights into how smoking may impact maternal and infant health"
"How can I find information on different types of hospital admissions, like those related to assault, cancer, alcohol, falls, kidney issues, or cardiovascular conditions?","To find information on various types of hospital admissions, start by navigating to the 'Themes' section. Select the 'Healthy' category, and then go to 'Hospital admissions.' Within this section, you'll find the indicator labeled 'Hospital admissions - all hospitals (WA only).' Here, you can explore detailed data on different types of hospital admissions"
"How can I find information about immunization such as polio, hepititis b, chickenpox, diphtheria, measles, fully immunised?","To find information about immunization, start by navigating to the 'Themes' section. Select the 'Healthy' category, and then go to 'Immunisation."
How can I find information about injuries?,"To find information about injuries on the ACYWA platform, start by going to the 'Themes' section. From there, select the 'Healthy' category, and then navigate to 'Injury.' This section provides detailed data on various types of injuries, offering insights into the prevalence and impact of injuries within the population. You can explore this section to understand the different factors contributing to injury-related cases"
How can I find information about mental health?,"To find information about mental health, start by navigating to the 'Themes' section. Select the 'Mental health' category. Within this section, you will find data related to various mental health indicators"
How can I find information about sexual health?,"To find information about sexual health on the ACYWA platform, start by going to the 'Themes' section. From there, select the 'Healthy' category, and then navigate to 'Sexual health.' Within this section, you'll find data related to 'Knowledge and skills about safe sexual and reproductive health behaviours.' This section provides insights into the awareness and education around safe sexual practices"
"How can I find information about alcohol, drugs, and smoking?","To find information about alcohol, drugs, and smoking, start by navigating to the 'Themes' section. Select the 'Healthy' category, and then go to 'Substance use.' Within this section, you'll find data related to 'Alcohol (ASSAD survey).' This section provides insights from the Australian Secondary Students Alcohol and Drug (ASSAD) survey, which covers the use of alcohol among young people. You can explore this section to also understand trends related to drug use and smoking behaviors in the population."
"How can I find information about the country of birth specifically Americas, North America and Middle Eastast, North East Asia, North West Europe?","To find information about the country of birth, start by navigating to the 'Themes' section. From there, select the 'Identity and culture' category, and then go to 'Country of birth.' This section provides detailed data on the country of birth of individuals, offering insights into the cultural diversity and demographics of the population."
How can I find information about people who speak English well and those who don't?,"To find information about language proficiency, start by navigating to the 'Themes' section. From there, select the 'Identity and culture' category, and then go to 'Language.This section provides insights into the language proficiency of the population, particularly focusing on those who may have limited English skills."
How can I find information about young people with and without religious affiliation?,"To find information about religious affiliation, start by navigating to the 'Themes' section. From there, select the 'Identity and culture' category, and then go to 'Religion.' Within this section, you'll find data on 'Young people with and without religious affiliation."
How can I find information about school attendance?,"To find information about school attendance, start by navigating to the 'Themes' section. From there, select the 'Learning' category, and then go to School attendance including Government, Private and all"
How can I find information about childcare availability?,"To find information about childcare availability, start by navigating to the 'Themes' section. From there, select the 'Learning' category, and then go to 'Early childhood education and care.' Within this section, you'll find data related to 'Childcare availability.' This section provides insights into the availability of childcare services, helping you understand the distribution and accessibility of early childhood education and care options"
How can I find information about the sense of belonging at school?,"To find information about the sense of belonging at school on the ACYWA platform, start by navigating to the 'Themes' section. From there, select the 'Learning' category, and then go to 'Sense of belonging at school.' This section provides data on how students feel about their sense of belonging and connection to their school community, offering insights into student engagement and well-being."
How can I find information about homelessness?,"To find information about homelessness, start by navigating to the 'Themes' section. From there, select the 'Material basics' category, and then go to 'Housing amenity.' Within this section, you'll find data related to 'Homelessness.' This section provides insights into the prevalence and conditions of homelessness, helping you understand the challenges faced by those without stable housing."
How can I find information about low-income households?,"To find information about low-income households, start by navigating to the 'Themes' section. From there, select the 'Material basics' category, and then go to 'Low income household.' This section provides data on households with low income, offering insights into economic challenges and the distribution of income levels within the population"
How can I find information about unemployment?,"To find information about unemployment, start by navigating to the 'Themes' section. From there, select the 'Material basics' category, and then go to 'Youth unemployment.' Within this section, you'll find data on 'Unemployed and seeking full-time work."
How can I find information about adults listening to young people?,"To find information about adults listening to young people, start by navigating to the 'Themes' section. From there, select the 'Participation' category, and then go to 'Connection to Community.' Within this section, you'll find data related to 'Adults listening to young people"
How can I find information about people’s sense of belonging and reporting fun places in the community,"Start by navigating to the 'Themes' section. From there, select the 'Participation' category, and then go to 'Connection to Community.'"
How can I find information about unpaid or volunteer work?,"To find information about unpaid or volunteer work, start by navigating to the 'Themes' section. From there, select the 'Participation' category, and then go to 'Volunteering.' Within this section, you'll find data related to 'Young people doing unpaid voluntary work"
How can I find information about child protection,"To find information about child protection, start by navigating to the 'Themes' section. From there, select the 'Valued, loved and safe' category, and then go to 'Child protection"
How can I find information about sexual assault and domestic violence?,"To find information about sexual assault and domestic violence, start by navigating to the 'Themes' section. From there, select the 'Valued, loved and safe' category, and then go to 'Children and young people as victims of crime"
How can I find information about family fighting?,"To find information about family fighting on the ACYWA platform, start by navigating to the 'Themes' section. From there, select the 'Valued, loved and safe' category, and then go to 'Family conflict.' Within this section, you'll find data related to 'Family fighting."
