Question,Response,Response Time
Where can I look for data on the number of children and young people?,"To look for data on the number of children and young people, open the Atlas map, navigate to the right-hand side pane, and type ""number of children and young people"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",6.756789
Where can I find information about health at birth on this website?,"To find information about health at birth, open the Atlas map, navigate to the right-hand side pane, and type ""health at birth"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",8.224558
Where can I look up data on public hospitals?,"To look up data on public hospitals, open the Atlas map, navigate to the right-hand side pane, and type ""public hospitals"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",6.60073
Can you help me find information about alcohol consumption?,"To find information about alcohol consumption, open the Atlas map, navigate to the right-hand side pane, and type ""alcohol"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.932298
Where can I look for data on road accidents in Western Australia?,"To look for data on road accidents in Western Australia, open the Atlas map, navigate to the right-hand side pane, and type ""road accidents"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",6.495545
Can you help me find information about mental health?,"To find information about mental health, open the Atlas map, navigate to the right-hand side pane, and type ""mental health"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.524104
What sections of this website can I find information about suicide cases?,"To find information about suicide cases, open the Atlas map, navigate to the right-hand side pane, and type ""suicide"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.20559
Can you help me find information about physical health on this website?,"To find information about physical health, open the Atlas map, navigate to the right-hand side pane, and type ""physical health"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.693656
"How do I navigate to the sections about alcohol, drugs, and smoking?","To navigate to the sections about alcohol, drugs, and smoking, open the Atlas map, navigate to the right-hand side pane, and type ""substance use"" in the search box. If data is available, you can select the relevant subcategories for alcohol, drugs, and smoking from the drop-down options to access the details.",8.896234
How do I access primary healthcare services in WA?,"To access primary healthcare services in WA, open the Atlas map, navigate to the right-hand side pane, and type ""Primary Healthcare Access"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to view the information.",9.703562
How can I find information about different cultures and regions on this site?,"To find information about different cultures and regions, open the Atlas map, navigate to the right-hand side pane, and type ""Identity and culture"" in the search box. If data is available, you can explore various subcategories related to cultural backgrounds and regions from the drop-down options.",7.519878
How can I find information about children who speak languages other than English?,"To find information about children who speak languages other than English, open the Atlas map, navigate to the right-hand side pane, and type ""children and young people who speak a language other than English at home"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.19583
Where can I look for resources related to young people learning English?,"To look for resources related to young people learning English, open the Atlas map, navigate to the right-hand side pane, and type ""language"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",6.393553
Where can I find information people with and without religious affiliations?,"To find information about people with and without religious affiliations, open the Atlas map, navigate to the right-hand side pane, and type ""religion"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.622163
What sections can I explore on this website related to early childhood development?,"To explore sections related to early childhood development, open the Atlas map, navigate to the right-hand side pane, and type ""Early Childhood Development"" in the search box. If data is available, you can select relevant subcategories from the drop-down options to access detailed information. You may also find data related to the Australian Early Development Census (AEDC) under the Learning theme.",8.017026
Where can I find information about preschool enrollment on this website?,"To find information about preschool enrollment, open the Atlas map, navigate to the right-hand side pane, and type ""enrolment early childhood education"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.000678
How do I navigate to the section about childcare availability?,"To navigate to the section about childcare availability, open the Atlas map, navigate to the right-hand side pane, and type ""childcare availability"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",6.404232
Where can I find information about school attendance for both government and non-government schools?,"To find information about school attendance for both government and non-government schools, open the Atlas map, navigate to the right-hand side pane, and type ""school attendance"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.000779
How do I navigate to the section that compares attendance in all types of schools?,"To navigate to the section that compares attendance in all types of schools, open the Atlas map, navigate to the right-hand side pane, and type ""school attendance (level)"" or ""school attendance (rate)"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the comparison details.",7.306642
Can you help me find information about youth participation in education on this website?,"To find information about youth participation in education, open the Atlas map, navigate to the right-hand side pane, and type ""youth participation in education"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",10.123745
Where can I find information about homelessness services on this website?,"To find information about homelessness services, open the Atlas map, navigate to the right-hand side pane, and type ""Specialist Homelessness Services"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",6.828165
How do I navigate to the section that discusses housing related issues?,"To navigate to the section that discusses housing-related issues, open the Atlas map, navigate to the right-hand side pane, and type ""housing amenity"" or ""homelessness"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",8.067394
What sections can I explore to learn more about the Socio-economic Indexes of Australia?,"To learn more about the Socio-economic Indexes of Australia, open the Atlas map, navigate to the right-hand side pane, and type ""Socio-economic Indexes of Australia (SEIFA)"" in the search box. If data is available, you can explore the relevant subcategories related to the different indexes, such as the Index of Economic Resources or the Index of Relative Socio-Economic Advantage and Disadvantage. Select the options from the drop-down list to access the details.",8.872352
How can I find information on the different indexes like the Index of Economic Resources or the Index of Education and Occupation on this website?,"To find information on different indexes like the Index of Economic Resources or the Index of Education and Occupation, open the Atlas map, navigate to the right-hand side pane, and type ""Socio-economic Indexes of Australia (SEIFA)"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the details.",8.88099
Can you help me find information about stable housing for low-income households on this website?,"To find information about stable housing for low-income households, open the Atlas map, navigate to the right-hand side pane, and type ""Stable housing"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",8.403826
Where can I find information about youth unemployment on this website?,"To find information about youth unemployment, open the Atlas map, navigate to the right-hand side pane, and type ""youth unemployment"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.829589
What sections on this website can I explore to learn about communities?,"To learn about communities, open the Atlas map, navigate to the right-hand side pane, and type ""Connection to community"" in the search box. You can also explore sections related to ""belonging in community"" and ""volunteering."" If data is available, select the relevant subcategories from the drop-down options to access the information.",8.137802
What sections on this website talk about volunteering opportunities for young people?,"To find information about volunteering opportunities for young people, open the Atlas map, navigate to the right-hand side pane, and type ""Volunteering"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.579993
Where can I find information about voting enrolment on this website?,"To find information about voting enrolment, open the Atlas map, navigate to the right-hand side pane, and type ""Voting enrolment"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",8.192402
Where can I find information about child protection on this website?,"To find information about child protection, open the Atlas map, navigate to the right-hand side pane, and type ""Child protection"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",8.689306
How do I navigate to details about children in out-of-home care and their discharge process?,"To navigate to details about children in out-of-home care and their discharge process, open the Atlas map, navigate to the right-hand side pane, and type ""Children admitted to out-of-home care"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",8.88534
Can you help me find information about children and young people who are victims of crime on this website?,"To find information about children and young people who are victims of crime, open the Atlas map, navigate to the right-hand side pane, and type ""Children and young people as victims of crime"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",9.263714
Where can I locate resources related to victims of domestic violence and sexual assault?,"To locate resources related to victims of domestic violence and sexual assault, open the Atlas map, navigate to the right-hand side pane, and type ""Victims of domestic violence related assault"" or ""Victims of sexual assault"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the details.",7.606241
Can you help me find information about one parent families on this website?,"To find information about one parent families, open the Atlas map, navigate to the right-hand side pane, and type ""one parent families"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.108405
Where can I look for resources related to same-sex parent families with dependent children?,"To look for resources related to same-sex parent families with dependent children, open the Atlas map, navigate to the right-hand side pane, and type ""Same sex parent families"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",8.76549
What sections of the website can I explore to learn more about family conflict?,"To learn more about family conflict, open the Atlas map, navigate to the right-hand side pane, and type ""Family conflict"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details. You may also explore related surveys, such as the ""Family fighting – Speaking Out Survey Western Australia.""",9.350772
Where can I find resources related to family fighting?,"To find resources related to family fighting, open the Atlas map, navigate to the right-hand side pane, and type ""Family fighting"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.435841
Can you help me find information about youth justice on this website?,"To find information about youth justice, open the Atlas map, navigate to the right-hand side pane, and type ""Youth justice"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",8.163677
Where can I learn more about young p click on themes icon,"To learn more about young people, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. You can then explore various themes related to youth, such as Participation, Valued, Loved and Safe, and Learning. If you have a specific area of interest, feel free to ask!",7.423076
What sections of the website focus on safe environments and community safety?,"To find sections focusing on safe environments and community safety, open the Atlas map, navigate to the right-hand side pane, and type ""Safe environments"" or ""Experiences of violence"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the details. Additionally, you may explore resources related to feeling safe in the community.",9.48489
How can I find information about experiences of violence in my area?,"To find information about experiences of violence in your area, open the Atlas map, navigate to the right-hand side pane, and type ""Experiences of violence"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details specific to your region.",8.449174
How can I find information about young people who have committed different types of offences?,"To find information about young people who have committed different types of offences, open the Atlas map, navigate to the right-hand side pane, and type ""young people offending"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",7.216052
"Where can I look for details about specific offences like burglary, drug offences, or graffiti on this website?","To look for details about specific offences like burglary, drug offences, or graffiti, open the Atlas map, navigate to the right-hand side pane, and type the specific offence (e.g., ""burglary offences,"" ""drug offences,"" or ""graffiti offences"") in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the details.",10.131685
Where can I find all the different filters on this website?,"You can find all the different filters on the Atlas map by navigating to the right-hand side pane. Here, you will see options to filter by Age & Sex, Collection Year(s), Statistical Areas, and more. Simply click on the relevant icons to apply your desired filters.",8.453415
What all filters I can apply to the data here?,"You can apply the following filters to the data on the Atlas map: Age & Sex, Collection Year(s), Statistical Areas, and Political Areas. Additionally, you can filter by specific service layers related to healthcare and community services. Simply navigate to the right-hand side pane to access these filter options.",8.842664
﻿What kind of data do you have?,"The Atlas project provides data on children's health, development, and wellbeing across various themes. Key categories include Early Childhood Development, Education and Schooling, Health and Wellbeing, Social and Community Services, Crime and Safety, Demographics and Population Data, Public Health and Disease Surveillance, Road Safety, Electoral Data, and Healthcare Services. You can explore these themes further on the Atlas map.",3.103441
What different age groups do you have?,"You can filter data by age groups ranging from 0 to 24 years. To select specific age groups, click on the fingerprint icon located at the top right-hand side of the Atlas map. From there, you can adjust the age groups according to your interest.",8.320761
What topics does your dataset cover?,"The dataset covers topics such as Early Childhood Development, Education and Schooling, Health and Wellbeing, Social and Community Services, Crime and Safety, Demographics and Population Data, Public Health and Disease Surveillance, Road Safety, Electoral Data, and Healthcare Services. You can explore these topics further by navigating the Atlas map. If you have a specific topic in mind, let me know!",5.102918
How can I find information about my specific region on this website?,"To find information about your specific region, open the Atlas map and enter your region or area of interest into the search box on the top left-hand corner of the screen. Alternatively, you can select your region from the box located below the theme menu and click the arrow to zoom in. You can also click anywhere on the interactive map to zoom in on your desired area.",9.004788
What kind of information can I find on this website?,"On this website, you can find data related to children's health, development, and wellbeing across various themes such as Healthy, Identity & Culture, Learning, Material Basics, Participation, and Valued, Loved and Safe. You can explore specific subcategories within these themes and filter data by age, sex, collection year, and statistical areas. Additionally, the site provides visualisations and resources for understanding the data better.",6.388723
Where can I look for data related to different regions on this site?,"To look for data related to different regions on the site, open the Atlas map and enter the specific region or area of interest into the search box on the top left-hand corner. You can also select a region from the box below the theme menu and click the arrow to zoom in. Additionally, clicking anywhere on the interactive map will allow you to explore various regions.",7.948101
How is the data organized into different topics or categories here?,"The data is organised into several broad themes, including Healthy, Identity & Culture, Learning, Material Basics, Participation, and Valued, Loved and Safe. Each theme contains specific subcategories that cover various topics, such as health conditions, education statistics, and social services. You can explore these themes and subcategories on the Atlas map for detailed information.",6.376114
Where can I find information about children and young people with disabilities?,"To find information about children and young people with disabilities, open the Atlas map, navigate to the right-hand side pane, and type ""disability"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options.",5.811827
How do I search for details about chronic health conditions and hospital admissions related to diabetes here?,"To search for details about chronic health conditions and hospital admissions related to diabetes, open the Atlas map, navigate to the right-hand side pane, and type ""diabetes"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options. This will provide you with the specific information you need.",6.229607
What sections can I explore to learn about emergency department presentations in WA hospitals?,"To learn about emergency department presentations in WA hospitals, open the Atlas map, navigate to the right-hand side pane, and type ""emergency department presentations"" in the search box. If data is available, you can explore various subcategories related to ED presentations, including all types and by hospital type. Select the most suitable subcategory from the drop-down options to access the information.",6.488274
How can I find information on different types of ED presentations at public hospitals?,"To find information on different types of ED presentations at public hospitals, open the Atlas map, navigate to the right-hand side pane, and type ""ED presentations by type – public hospitals"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",7.288499
Can you help me find information about the estimated population of children and young people on this website?,"To find information about the estimated population of children and young people, open the Atlas map, navigate to the right-hand side pane, and type ""estimated population"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.19668
Where can I look for data on the number of children and young people?,"To look for data on the number of children and young people, open the Atlas map, navigate to the right-hand side pane, and type ""number of children and young people"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.21478
Where can I find information about health at birth on this website?,"To find information about health at birth, open the Atlas map, navigate to the right-hand side pane, and type ""health at birth"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",6.702944
Where can I look up data on public hospitals?,"To look up data on public hospitals, open the Atlas map, navigate to the right-hand side pane, and type ""public hospitals"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",6.957481
Can you help me find information about alcohol consumption?,"To find information about alcohol consumption, open the Atlas map, navigate to the right-hand side pane, and type ""alcohol"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.961127
Where can I look for data on road accidents in Western Australia?,"To look for data on road accidents in Western Australia, open the Atlas map, navigate to the right-hand side pane, and type ""road accidents"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.275994
Can you help me find information about mental health?,"To find information about mental health, open the Atlas map, navigate to the right-hand side pane, and type ""mental health"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.3381
What sections of this website can I find information about suicide cases?,"To find information about suicide cases, open the Atlas map, navigate to the right-hand side pane, and type ""suicide"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",6.989367
Can you help me find information about physical health on this website?,"To find information about physical health, open the Atlas map, navigate to the right-hand side pane, and type ""physical health"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.774012
"How do I navigate to the sections about alcohol, drugs, and smoking?","To navigate to the sections about alcohol, drugs, and smoking, open the Atlas map, navigate to the right-hand side pane, and type ""substance use"" in the search box. If data is available, you can select the relevant subcategories related to alcohol, drugs, and smoking from the drop-down options to access the information.",8.291949
How do I access primary healthcare services in WA?,"To access information about primary healthcare services in WA, open the Atlas map, navigate to the right-hand side pane, and type ""Primary Healthcare Access"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to view the information.",6.841962
How can I find information about different cultures and regions on this site?,"To find information about different cultures and regions, open the Atlas map, navigate to the right-hand side pane, and type ""Identity and culture"" in the search box. If data is available, you can select the relevant subcategories related to various cultures and regions from the drop-down options to access the information.",7.104683
How can I find information about children who speak languages other than English?,"To find information about children who speak languages other than English, open the Atlas map, navigate to the right-hand side pane, and type ""children and young people who speak a language other than English at home"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",8.163214
Where can I look for resources related to young people learning English?,"To look for resources related to young people learning English, open the Atlas map, navigate to the right-hand side pane, and type ""language"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.49653
Where can I find information people with and without religious affiliations?,"To find information about people with and without religious affiliations, open the Atlas map, navigate to the right-hand side pane, and type ""religion"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",8.415944
What sections can I explore on this website related to early childhood development?,"To explore sections related to early childhood development, open the Atlas map, navigate to the right-hand side pane, and type ""Australian early development census (AEDC)"" in the search box. If data is available, you can select relevant subcategories from the drop-down options to access information on various aspects of early childhood development.",7.098399
Where can I find information about preschool enrollment on this website?,"To find information about preschool enrolment, open the Atlas map, navigate to the right-hand side pane, and type ""enrolment early childhood education (preschool)"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",15.961148
How do I navigate to the section about childcare availability?,"To navigate to the section about childcare availability, open the Atlas map, navigate to the right-hand side pane, and type ""childcare availability"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",6.237478
Where can I find information about school attendance for both government and non-government schools?,"To find information about school attendance for both government and non-government schools, open the Atlas map, navigate to the right-hand side pane, and type ""school attendance"" in the search box. If data is available, you can select the relevant subcategories for all schools, government schools, and non-government schools from the drop-down options to access the information.",7.910842
How do I navigate to the section that compares attendance in all types of schools?,"To navigate to the section that compares attendance in all types of schools, open the Atlas map, navigate to the right-hand side pane, and type ""school attendance (rate)"" in the search box. If data is available, you can select the relevant subcategories for all schools, government schools, and non-government schools from the drop-down options to access the information.",8.251595
Can you help me find information about youth participation in education on this website?,"To find information about youth participation in education, open the Atlas map, navigate to the right-hand side pane, and type ""youth participation in education"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",8.136789
Where can I find information about homelessness services on this website?,"To find information about homelessness services, open the Atlas map, navigate to the right-hand side pane, and type ""Specialist Homelessness Services"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",8.105138
How do I navigate to the section that discusses housing related issues?,"To navigate to the section that discusses housing-related issues, open the Atlas map, navigate to the right-hand side pane, and type ""housing amenity"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.864524
What sections can I explore to learn more about the Socio-economic Indexes of Australia?,"To learn more about the Socio-economic Indexes of Australia, open the Atlas map, navigate to the right-hand side pane, and type ""Socio-economic Indexes of Australia (SEIFA)"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access detailed information. This will include indexes like Economic Resources, Education and Occupation, and Relative Socio-Economic Advantage and Disadvantage.",8.864176
How can I find information on the different indexes like the Index of Economic Resources or the Index of Education and Occupation on this website?,"To find information on different indexes like the Index of Economic Resources or the Index of Education and Occupation, open the Atlas map, navigate to the right-hand side pane, and type ""Socio-economic Indexes of Australia (SEIFA)"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the specific information on each index.",9.044898
Can you help me find information about stable housing for low-income households on this website?,"To find information about stable housing for low-income households, open the Atlas map, navigate to the right-hand side pane, and type ""Stable housing"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",7.086362
Where can I find information about youth unemployment on this website?,"To find information about youth unemployment, open the Atlas map, navigate to the right-hand side pane, and type ""youth unemployment"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",8.387678
What sections on this website can I explore to learn about communities?,"To learn about communities, open the Atlas map, navigate to the right-hand side pane, and type ""Connection to community"" in the search box. If data is available, you can explore subcategories related to community belonging and engagement. Additionally, you can look for sections on volunteering and community resources.",7.855317
What sections on this website talk about volunteering opportunities for young people?,"To find information about volunteering opportunities for young people, open the Atlas map, navigate to the right-hand side pane, and type ""Volunteering"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information. This will provide insights into young people doing unpaid voluntary work.",8.811211
Where can I find information about voting enrolment on this website?,"To find information about voting enrolment, open the Atlas map, navigate to the right-hand side pane, and type ""Voting enrolment"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information. This will include details on the number enrolled and the proportion enrolled.",8.712503
Where can I find information about child protection on this website?,"To find information about child protection, open the Atlas map, navigate to the right-hand side pane, and type ""Child protection"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information. This will include details on care and protection orders and children admitted to out-of-home care.",8.01091
How do I navigate to details about children in out-of-home care and their discharge process?,"To navigate to details about children in out-of-home care and their discharge process, open the Atlas map, navigate to the right-hand side pane, and type ""Children discharged from out-of-home care"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",17.706005
Can you help me find information about children and young people who are victims of crime on this website?,"To find information about children and young people who are victims of crime, open the Atlas map, navigate to the right-hand side pane, and type ""Children and young people as victims of crime"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information. This may include details specific to domestic violence and sexual assault.",7.242691
Where can I locate resources related to victims of domestic violence and sexual assault?,"To locate resources related to victims of domestic violence and sexual assault, open the Atlas map, navigate to the right-hand side pane, and type ""Victims of domestic violence related assault"" or ""Victims of sexual assault"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information. This will provide insights into the statistics and resources available for these issues.",8.047041
Can you help me find information about one parent families on this website?,"To find information about one-parent families, open the Atlas map, navigate to the right-hand side pane, and type ""one parent families with children under 15 years old"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",16.800172
Where can I look for resources related to same-sex parent families with dependent children?,"To look for resources related to same-sex parent families with dependent children, open the Atlas map, navigate to the right-hand side pane, and type ""Same sex parent families with dependent children"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",7.53221
What sections of the website can I explore to learn more about family conflict?,"To learn more about family conflict, open the Atlas map, navigate to the right-hand side pane, and type ""Family conflict"" in the search box. If data is available, you can select the relevant subcategory, such as ""Family fighting – Speaking Out Survey Western Australia,"" from the drop-down options to access the information. This will provide insights into the statistics and resources related to family conflict.",9.116873
Where can I find resources related to family fighting?,"To find resources related to family fighting, open the Atlas map, navigate to the right-hand side pane, and type ""Family fighting – Speaking Out Survey Western Australia"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information. This will provide insights into the statistics and resources regarding family conflict.",8.815847
Can you help me find information about youth justice on this website?,"To find information about youth justice, open the Atlas map, navigate to the right-hand side pane, and type ""Youth justice"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access information about young people under community-based supervision and those in detention.",12.994981
Where can I learn more about young people under community-based supervision?,"To learn more about young people under community-based supervision, open the Atlas map, navigate to the right-hand side pane, and type ""Young people under community-based supervision"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options to access the information.",6.921163
What sections of the website focus on safe environments and community safety?,"To find sections focusing on safe environments and community safety, open the Atlas map, navigate to the right-hand side pane, and type ""Safe environments"" or ""Experiences of violence"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access information on community safety and related resources.",8.51814
How can I find information about experiences of violence in my area?,"To find information about experiences of violence in your area, open the Atlas map, navigate to the right-hand side pane, and type ""Experiences of violence"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information specific to your region.",8.205245
How can I find information about young people who have committed different types of offences?,"To find information about young people who have committed different types of offences, open the Atlas map, navigate to the right-hand side pane, and type ""Young people offending"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access detailed information on various offences.",9.235774
"Where can I look for details about specific offences like burglary, drug offences, or graffiti on this website?","To look for details about specific offences like burglary, drug offences, or graffiti, open the Atlas map, navigate to the right-hand side pane, and type the specific offence (e.g., ""burglary offences"" or ""drug offences"") in the search box. If data is available, you can select the relevant subcategories from the drop-down options to access the information.",9.699291
Where can I find all the different filters on this website?,"You can find all the different filters on the Atlas map by navigating to the right-hand side pane. The filters include options for Age & Sex, Collection Year(s), Statistical Areas, and more. Simply click on the respective icons to apply the filters to your data search.",10.53955
What all filters I can apply to the data here?,"You can apply the following filters to the data on the Atlas map: Age & Sex, Collection Year(s), Statistical Areas, and Political Areas. Additionally, you can filter by specific service layers related to healthcare, general services, and schools. Simply click on the respective icons in the right-hand side pane to access these filters.",11.925349
What different age groups do you have?,"You can filter data by age groups ranging from 0 to 24 years. To access these options, click on the fingerprint icon located at the top right-hand side of the Atlas map. From there, you can select the specific age groups of interest.",6.781749
How can I find information about my specific region on this website?,"To find information about your specific region, open the Atlas map and enter the region or area of interest into the search box on the top left-hand corner of the screen. Alternatively, you can select your region from the box located below the theme menu and click the arrow to zoom in. You can also click anywhere on the interactive map to zoom into your desired location.",10.846481
Where can I look for data related to different regions on this site?,"To look for data related to different regions on the site, open the Atlas map and enter the region or area of interest into the search box on the top left-hand corner. You can also select your region from the box below the theme menu and click the arrow to zoom in. Additionally, clicking anywhere on the interactive map will allow you to zoom into your desired location.",8.596752
Can you help me find information about males and females seperately on this website?,"To find information about males and females separately, open the Atlas map, click on the fingerprint icon at the top right-hand side of the page. You can then choose from options like male, female, or all to filter the data accordingly. Select the option that suits your needs to access the information.",9.510288
Where can I find options for different genders on this website?,"To find options for different genders on the website, open the Atlas map and click on the fingerprint icon at the top right-hand side of the page. From there, you can select options like male, female, or all to filter the data accordingly. This will allow you to access gender-specific information.",8.344908
How can I find information about different age groups on this website?,"To find information about different age groups on the website, open the Atlas map and click on the fingerprint icon located at the top right-hand side of the page. From there, you can adjust the age groups from 0 to 24 years. Select the specific age group you are interested in to filter the data accordingly.",10.005446
